Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Burgrill - The Win Win Burger,4.3,"Burger, Sandwich, Wraps, Fast Food",₹200 for one,31 min,₹150 OFF,https://www.zomato.com/ncr/burgrill-the-win-win-burger-rajinder-nagar-new-delhi/order
Mansi Chinese Food,3.8,"Chinese, Italian, South Indian, Pasta, Momos, Pizza",₹150 for one,52 min,No Offers,https://www.zomato.com/ncr/mansi-chinese-food-pitampura-new-delhi/order
Baap Of Rolls,4.2,"Rolls, Momos, Beverages",₹150 for one,28 min,60% OFF,https://www.zomato.com/ncr/baap-of-rolls-paharganj-new-delhi/order
Grameen Kulfi,4.6,"Ice Cream, Desserts",₹150 for one,25 min,No Offers,https://www.zomato.com/ncr/grameen-kulfi-karol-bagh-new-delhi/order
Biryani Badshah,4.3,"Biryani, Hyderabadi, Andhra, North Indian, Mughlai",₹200 for one,19 min,₹125 OFF,https://www.zomato.com/ncr/biryani-badshah-connaught-place-new-delhi/order
Chimney Sizzlers,4.3,"Chinese, Tibetan, Momos",₹350 for one,42 min,₹200 OFF,https://www.zomato.com/ncr/chimney-sizzlers-chanakyapuri-new-delhi/order
Olio - The Wood Fired Pizzeria,4.3,"Pizza, Italian, Fast Food, Beverages",₹200 for one,39 min,50% OFF,https://www.zomato.com/ncr/olio-the-wood-fired-pizzeria-karol-bagh-new-delhi/order
Hudson Chopsticks - Fresh Chinese,4.2,"Chinese, Asian, Momos, Thai, Fast Food, Desserts, Beverages",₹200 for one,34 min,₹100 OFF,https://www.zomato.com/ncr/hudson-chopsticks-fresh-chinese-east-patel-nagar-new-delhi/order
The Burger Company,4.3,"Burger, Fast Food, Pizza, Desserts, Shake, Beverages",₹200 for one,44 min,No Offers,https://www.zomato.com/ncr/the-burger-company-kamla-nagar-new-delhi/order
KC Restaurant,4.2,"North Indian, Chinese, Momos",₹150 for one,52 min,Free Vegetable Soup,https://www.zomato.com/ncr/kc-restaurant-satyaniketan-new-delhi/order
Moti Mahal Delux- Legendary Culinary,4.4,"North Indian, Mughlai, Chinese, Desserts, Beverages",₹750 for one,49 min,No Offers,https://www.zomato.com/ncr/moti-mahal-delux-legendary-culinary-south-extension-2-new-delhi/order
NH1 Bowls - Highway To North,4.5,North Indian,₹100 for one,24 min,₹200 OFF,https://www.zomato.com/ncr/nh1-bowls-highway-to-north-karol-bagh-new-delhi/order
Kaleva,4.4,"Mithai, Street Food, Beverages, Desserts, North Indian, South Indian",₹100 for one,21 min,No Offers,https://www.zomato.com/ncr/kaleva-gole-market-new-delhi/order
WOW! China,3.7,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos",₹250 for one,65 min,40% OFF,https://www.zomato.com/ncr/wow-china-chandni-chowk-new-delhi/order
Abdul Ghani Qureshi Kabab Corner - Jama Masjid,4.1,"Kebab, North Indian, Biryani, Fast Food",₹40 for one,44 min,No Offers,https://www.zomato.com/ncr/abdul-ghani-qureshi-kabab-corner-jama-masjid-jama-masjid-new-delhi/order
Rominus Pizza And Burger,4.2,"Pizza, Fast Food, Burger, Pasta",₹200 for one,41 min,60% OFF,https://www.zomato.com/ncr/rominus-pizza-and-burger-laxmi-nagar-new-delhi/order
Flavours,3.9,"North Indian, Chinese, South Indian",₹200 for one,36 min,₹150 OFF,https://www.zomato.com/ncr/flavours-paharganj-new-delhi/order
Fleurons - Handcrafted Cakes And Brownies,4.3,"Bakery, Desserts",₹150 for one,30 min,₹100 OFF,https://www.zomato.com/ncr/fleurons-handcrafted-cakes-and-brownies-karol-bagh-new-delhi/order
Havmor Havfunn Ice Cream,4.3,"Ice Cream, Desserts",₹150 for one,19 min,No Offers,https://www.zomato.com/ncr/havmor-havfunn-ice-cream-connaught-place-new-delhi/order
Louis Burger,4.1,"Burger, Fast Food, Beverages",₹250 for one,39 min,₹100 OFF,https://www.zomato.com/ncr/louis-burger-connaught-place-new-delhi/order
Baking Love Bakers,4.2,"Bakery, Desserts",₹250 for one,41 min,50% OFF,https://www.zomato.com/ncr/baking-love-bakers-shadipur-new-delhi/order
